WORD,DEFINITION,synonyms,Difficulty
apotheosis,deification glorification to godliness        ,"something, anything",1
appease,make quiet or calm        ,"something, anything",1
apprehensive,grasping understanding fear unhappy feeling about future     ,"something, anything",1
apprise,give notice to inform        ,"something, anything",1
approbation,approval           ,"something, anything",1
apropos,appropriate to the situation apt       ,"something, anything",1
apt,well-suited quick-witted          ,"something, anything",1
arabesque,a complex ornate design        ,"something, anything",1
arboreal,of connected with trees        ,"something, anything",1
ardor,enthusiasm           ,"something, anything",1
arduous,steep difficult ascent laborious        ,"something, anything",1
argot,jargon slang          ,"something, anything",1
arrant,in the highest degree        ,"something, anything",1
arrogance,proud superior manner of behaviour       ,"something, anything",1
articulate,speak distinctly connect by joints       ,"something, anything",1
ascend,go or come up        ,"something, anything",1
ascertain,get to know         ,"something, anything",1
ascetic,practicing self-denial austere stark        ,"something, anything",1
ascribe,consider to be the origin of or belonging to   ,"something, anything",1
aseptic,surgically clean        ,"something, anything",1
asperity,roughness harshness ill temper irritability       ,"something, anything",1
aspersion,slander           ,"something, anything",1
assail,with attack violently         ,"something, anything",1
assiduous,diligent hard-working sedulous         ,"something, anything",1
assuage,make smth (pain desire) less       ,"something, anything",1
asterisk,the mark * (e.g.. omitted letters)      ,"something, anything",1
astringent,substance that shrinks         ,"something, anything",1
astute,clever quick at seeing to get an advantage    ,"something, anything",1
atonement,repayment death of Jesus        ,"something, anything",1
attenuate,make thin. weaken enervate        ,"something, anything",1
attune,bring into harmony       ,"something, anything",1
audacious,daring foolishly bold impudent        ,"something, anything",1
augury,omen sign          ,"something, anything",1
august,majestic venerable          ,"something, anything",1
auspicious,favorable successful prosperous         ,"something, anything",1
austere,severely moral and strict simple and plain     ,"something, anything",1
auxiliary,helping supporting          ,"something, anything",1
aver,affirm assert prove justify        ,"something, anything",1
aversion,strong dislike          ,"something, anything",1
avid,eager greedy          ,"something, anything",1
avow,admit. Declare openly         ,"something, anything",1
baleful,harmful ominous causing evil        ,"something, anything",1
balk,obstacle purposely to get on the way of    ,"something, anything",1
baneful,causing harm or ruin pernicious destructive      ,"something, anything",1
barrage,artificial obstacle built across a river      ,"something, anything",1
barren,not good enough unable to have young ones without value  ,"something, anything",1
bask,in enjoy warmth and light       ,"something, anything",1
beatify,to bless make happy or ascribe a virtue to   ,"something, anything",1
bedizen,to adorn especially in a cheap showy manner    ,"something, anything",1
belabor,beat hard        ,"something, anything",1
bellicose,belligerent pugnacious warlike         ,"something, anything",1
belligerent,(person nation) waging war        ,"something, anything",1
benefactor,person who has given help       ,"something, anything",1
benevolence,wish or activity in doing good      ,"something, anything",1
benign,kind and gentle mild (climate)       ,"something, anything",1
bequest,arrangement to give smth at death      ,"something, anything",1
berate,scold sharply          ,"something, anything",1
bereft,rob or dispossess of smth (material)      ,"something, anything",1
bewilder,puzzle confuse          ,"something, anything",1
bigot,stubborn narrow-minded person         ,"something, anything",1
bilge,bulge the protuberance of a cask      ,"something, anything",1
blandishment,flattery coaxing          ,"something, anything",1
blandness,polite manner comforting uninteresting        ,"something, anything",1
blatant,noisy and rough         ,"something, anything",1
blithe,cheerful casual carefree         ,"something, anything",1
bogus,sham counterfeit not genuine        ,"something, anything",1
boisterous,loud noisy rough lacking restraint       ,"something, anything",1
bolster,give greatly needed support        ,"something, anything",1
boorish,crude offensive rude         ,"something, anything",1
brash,hasty rush cheeky saucy        ,"something, anything",1
brass,yellow metal (mixing copper and zinc)      ,"something, anything",1
brazen,made of brass         ,"something, anything",1
breach,opening broken place breaking        ,"something, anything",1
brittle,easily broken          ,"something, anything",1
broach,bring up announce begin to talk about     ,"something, anything",1
brook,to tolerate endure         ,"something, anything",1
buoyant,able to float light-hearted        ,"something, anything",1
burgeon,grow forth send out buds       ,"something, anything",1
burnish,to polish rub to a shine      ,"something, anything",1
cabal,a scheme or plot a group of plotters    ,"something, anything",1
cadge,to beg to get by begging      ,"something, anything",1
cajole,use flattery or deceit to persuade    ,"something, anything",1
calipers,metal supports attached to the legs measuring instrument    ,"something, anything",1
calumny,slander aspersion          ,"something, anything",1
candid,frank straight-forward          ,"something, anything",1
cant,insincere talk/jargon        ,"something, anything",1
cantankerous,bad-tempered/quarrelsome         ,"something, anything",1
canvass,discuss thoroughly sort of touting       ,"something, anything",1
castigate,to chastise correct by punishing       ,"something, anything",1
castigation,severe punishment          ,"something, anything",1
catalyst,substance that causes speeding up       ,"something, anything",1
caustic,biting sarcastic          ,"something, anything",1
censure,expression of blame or disapproval a rebuke     ,"something, anything",1
centurion,leader of a unit of 100 soldiers     ,"something, anything",1
chary,cautious wary          ,"something, anything",1
chastened,corrected punished          ,"something, anything",1
chastisement,punishment           ,"something, anything",1
chauvinist,a blindly devoted patriot        ,"something, anything",1
chicanery,legal trickery/false argument       ,"something, anything",1
chisel,steel tool for shaping materials       ,"something, anything",1
churl,bad-tempered person          ,"something, anything",1
clamor,shout complain with a lot of noise     ,"something, anything",1
clientele,customers         ,"something, anything",1
clinch,come to grips/settle conclusively      ,"something, anything",1
cling,to resist separation         ,"something, anything",1
clot,half-solid lump formed from liquid       ,"something, anything",1
cloture,closing device (in Parliament) to end a debate by voting  ,"something, anything",1
coagulation,change to a thick and solid state   ,"something, anything",1
coalescing,coming together and uniting into one substance     ,"something, anything",1
coax,get smb to do smth by kindness     ,"something, anything",1
coda,passage that completes a piece of music   ,"something, anything",1
coddle,treat with care and tenderness       ,"something, anything",1
coerce,compel to force to make obedient      ,"something, anything",1
coeval,of the same period coexisting       ,"something, anything",1
cogent,strong convincing          ,"something, anything",1
cogitate,think deeply mediate         ,"something, anything",1
cognizant,being fully aware of        ,"something, anything",1
colander,bowl-shaped vessel with many holes used to drain off water  ,"something, anything",1
collusion,secret agreement for a deceitful purpose      ,"something, anything",1
combustion,process of burning         ,"something, anything",1
commemorate,keep the memory of        ,"something, anything",1
commodious,having plenty of space for what is needed  ,"something, anything",1
commuter,person who travels regularly        ,"something, anything",1
complaisance,tending to comply obliging willingness to please     ,"something, anything",1
compunction,feeling of regret for one's action      ,"something, anything",1
conceal,hide keep secret         ,"something, anything",1
conceit,over-high opinion of too much pride      ,"something, anything",1
conciliatory,reconciling soothing comforting mollifying        ,"something, anything",1
concord,agreement or harmony         ,"something, anything",1
concur,agree in opinion happen together       ,"something, anything",1
condense,increase in density strength make laconic      ,"something, anything",1
condone,forgive           ,"something, anything",1
congeal,make or become stiff and solid      ,"something, anything",1
conjoin,to join together         ,"something, anything",1
connoisseur,a person with good judgement (e.g.. in art)    ,"something, anything",1
connotation,suggestion in addition to        ,"something, anything",1
consequential,pompous self important         ,"something, anything",1
console,give comfort or sympathy to       ,"something, anything",1
conspicuous,easily seen remarkable         ,"something, anything",1
consternation,surprise and fear dismay        ,"something, anything",1
constrain,compel         ,"something, anything",1
constrict,make tight or smaller        ,"something, anything",1
consume,get to the end of       ,"something, anything",1
consummate,perfect/make perfect/complete        ,"something, anything",1
contemn,to scorn or despise        ,"something, anything",1
contentious,argumentative pugnacious combative quarrelsome        ,"something, anything",1
contiguous,touching neighboring near         ,"something, anything",1
contrite,filled with deep sorrow for wrongdoing      ,"something, anything",1
contumacious,insubordinate rebellious          ,"something, anything",1
conundrum,a riddle dilemma enigma        ,"something, anything",1
conviction,convincing firm belief         ,"something, anything",1
convoke,call together summon         ,"something, anything",1
convoluted,complicated coiled twisted         ,"something, anything",1
cordial,warm and sincere         ,"something, anything",1
cordon,line (of police acting as a guard)     ,"something, anything",1
cornucopia,abundant supply        ,"something, anything",1
corporeal,physical of or for the body      ,"something, anything",1
correlate,have a mutual relation        ,"something, anything",1
corroboration,additional strengthening evidence         ,"something, anything",1
countenance,to favor or approve of       ,"something, anything",1
counterfeit,forgery           ,"something, anything",1
countervail,counterbalance           ,"something, anything",1
covert,disguised           ,"something, anything",1
covetous,eagerly desirous          ,"something, anything",1
cower,crouch shrink back         ,"something, anything",1
coy,shy/modest (esp of a girl)     ,"something, anything",1
crass,very great (es. stupidity)      ,"something, anything",1
cravat,piece of linen worn as a necktie   ,"something, anything",1
craven,cowardly           ,"something, anything",1
crease,line made by crushing white line on the ground in cricket ,"something, anything",1
credulity,too great a readiness to believe things     ,"something, anything",1
credulous,ready to believe things        ,"something, anything",1
crush,press lose shape subdue overwhelm       ,"something, anything",1
cryptic,secret with a hidden meaning       ,"something, anything",1
cumbersome,burdensome heavy and awkward to carry      ,"something, anything",1
curmudgeon,bad-tempered person          ,"something, anything",1
curriculum,course of study         ,"something, anything",1
cursory,quick hurried          ,"something, anything",1
curtail,make shorter then was planned       ,"something, anything",1
dainty,pretty/delicate(food)/difficult to please       ,"something, anything",1
daunt,intimidate make fearful         ,"something, anything",1
dawdler,person who is slow waste of time     ,"something, anything",1
dearth,shortage           ,"something, anything",1
debacle,a breakup overthrow sudden disaster       ,"something, anything",1
decorum,propriety properness          ,"something, anything",1
decree,order given by authority        ,"something, anything",1
decry,disapprove of          ,"something, anything",1
defer,postpone give way (to show respect)      ,"something, anything",1
deferential,showing respect          ,"something, anything",1
defiance,open disobedience or resistance        ,"something, anything",1
delineate,to portray depict sketch out       ,"something, anything",1
deluge,great flood heavy rush of water      ,"something, anything",1
demagogue,person appealing not to reasons       ,"something, anything",1
demur,to hesitate raise objections        ,"something, anything",1
denigrate,blacken belittle sully defame        ,"something, anything",1
denouement,an outcome or solution the unraveling of a plot   ,"something, anything",1
deplete,use until none remains        ,"something, anything",1
deposition,dethronement depositing          ,"something, anything",1
deprave,make morally bad corrupt        ,"something, anything",1
deprecate,protest against express disapproval of       ,"something, anything",1
dereliction,deserting and leaving to fall into ruins     ,"something, anything",1
derision,ridicule mockery deriding         ,"something, anything",1
derivative,unoriginal obtained from another source       ,"something, anything",1
derogatory,insulting tending to damage        ,"something, anything",1
descry,catch sight of see smth in the distance    ,"something, anything",1
desiccant,substance used to absorb moisture       ,"something, anything",1
desuetude,cessation of use disuse        ,"something, anything",1
desultory,aimless haphazard digressing at random       ,"something, anything",1
deter,discourage hinder          ,"something, anything",1
detraction,slandering verbal attack aspersion        ,"something, anything",1
detumescence,diminishing or lessening of swelling       ,"something, anything",1
deviance,being different in moral standards (from normal)     ,"something, anything",1
dexterity,skill (esp. in handling)        ,"something, anything",1
diaphanous,transparent gauzy          ,"something, anything",1
diatribe,bitter and violent attack in words      ,"something, anything",1
diffidence,shyness           ,"something, anything",1
dilate,speak comprehensively become wider large       ,"something, anything",1
disallow,refuse to allow or accept as a correct    ,"something, anything",1
discern,see with an effort but clearly      ,"something, anything",1
discomfit,confuse embarrass          ,"something, anything",1
disconcert,upset the self-possession of        ,"something, anything",1
discountenance,refuse to approve of        ,"something, anything",1
discourse,speech lecture          ,"something, anything",1
discredit,refuse to believe         ,"something, anything",1
discreet,careful/prudent         ,"something, anything",1
discrete,individually distinct        ,"something, anything",1
disdain,look on with contempt        ,"something, anything",1
disencumber,free from encumbrance         ,"something, anything",1
disheveled,untidy           ,"something, anything",1
disingenuous,sophisticated artful trying to deceive cunning      ,"something, anything",1
disinter,dig up from the earth       ,"something, anything",1
dislodge,move force from the place occupied      ,"something, anything",1
dismal,sad gloomy miserable         ,"something, anything",1
disparate,essentially different          ,"something, anything",1
disproof,proof to the contrary      ,"something, anything",1
dissemble,speak or behave so as to hide smth (in mind)  ,"something, anything",1
disseminate,distribute (esp. ideas)         ,"something, anything",1
dissent,have a different opinion refuse to assent     ,"something, anything",1
dissolution,disintegration looseness in morals        ,"something, anything",1
distraught,distracted violently upset in mind       ,"something, anything",1
divergence,getting farther apart from a point      ,"something, anything",1
divestiture,taking off getting rid of giving up     ,"something, anything",1
divulge,make known smth secret        ,"something, anything",1
doggerel,trivial poorly constructed verse        ,"something, anything",1
dogmatic,positive certain arbitrary without room for discussion     ,"something, anything",1
dolt,stupid fellow          ,"something, anything",1
dormant,in a state of inactivity but awaiting development    ,"something, anything",1
dote,show much fondness center one's attention      ,"something, anything",1
drawl,slow way of speaking      ,"something, anything",1
droll,jesting         ,"something, anything",1
drone,male bee person who isn't self-employed      ,"something, anything",1
drowsiness,feeling sleepy half asleep        ,"something, anything",1
dubious,feeling doubt          ,"something, anything",1
dud,no use person smth that fails      ,"something, anything",1
dulcet,melodious harmonious          ,"something, anything",1
dupe,cheat make a fool of       ,"something, anything",1
duplicity,deliberate deception          ,"something, anything",1
duress,threats to compel smb        ,"something, anything",1
dwarf,person or smb much below the usual size    ,"something, anything",1
dynamo,a generator something that produces electric current     ,"something, anything",1
earthenware,dishes made of baked clay       ,"something, anything",1
ebullience,exuberance outburst of feeling        ,"something, anything",1
ebullient,overflowing with enthusiasm showing excitement       ,"something, anything",1
ecumenical,representing the whole Christian world       ,"something, anything",1
edacious,voracious devouring          ,"something, anything",1
eddy,circular or spiral movement (e.g.. of wind)     ,"something, anything",1
edible,fit to be eaten/not poisonous     ,"something, anything",1
effete,infertile worn out weak        ,"something, anything",1
efficacy,production of a desired result       ,"something, anything",1
effluvia,outflow in a stream of particles a noxious odor or vapor ,"something, anything",1
effrontery,boldness impudence arrogance         ,"something, anything",1
egress,way out exit         ,"something, anything",1
elaborate,worked out with much care in great detail    ,"something, anything",1
elegy,a lament a melancholy composition       ,"something, anything",1
elicit,draw out          ,"something, anything",1
eloquence,fluent speaking skillful use of language      ,"something, anything",1
emaciate,make thin and weak        ,"something, anything",1
embellish,make beautiful          ,"something, anything",1
embezzle,use in a wrong way for one's own benefit   ,"something, anything",1
emote,stir up excite         ,"something, anything",1
empirical,relying on experiment         ,"something, anything",1
encapsulate,enclose in capsule         ,"something, anything",1
encomium,warm or glowing praise eulogy panegyric      ,"something, anything",1
encumbrance,burden things that get on the way of    ,"something, anything",1
endearing,making dear or liked        ,"something, anything",1
endemic,epidemic           ,"something, anything",1
endorse,write one's name on the back of     ,"something, anything",1
enduring,lasting           ,"something, anything",1
enervate,weaken deprive of strength attenuate       ,"something, anything",1
engender,cause produce give rise to       ,"something, anything",1
engrave,impress deeply          ,"something, anything",1
engrossing,taken up all the time or attention writing in large or formal,"something, anything",1
engulf,swallow up          ,"something, anything",1
enigma,smth that is puzzling        ,"something, anything",1
enmity,hatred being an enemy        ,"something, anything",1
ensign,flag/badge         ,"something, anything",1
entangle,put into difficulties         ,"something, anything",1
enthral,please greatly/enslave (fig)       ,"something, anything",1
entice,tempt or persuade       ,"something, anything",1
entreat,ask earnestly          ,"something, anything",1
enunciate,pronounce (words)/express a theory      ,"something, anything",1
enzyme,catalyst           ,"something, anything",1
epicurean,devoted to pleasure (sensuous enjoyment)       ,"something, anything",1
epistle,letter           ,"something, anything",1
epithet,adjective           ,"something, anything",1
epitome,brief summary representative example a typical model     ,"something, anything",1
equable,steady regular          ,"something, anything",1
equanimity,calmness of temperament         ,"something, anything",1
equilibrium,state of being balanced        ,"something, anything",1
equipoise,equal distribution of weight equilibrium       ,"something, anything",1
equivocal,having a double or doubtful meaning suspicious     ,"something, anything",1
equivocate,try to deceive by equivocal language      ,"something, anything",1
eradicate,get rid of pull up by the roots    ,"something, anything",1
erratic,irregular in behaviour or opinion       ,"something, anything",1
erudite,learned scholarly          ,"something, anything",1
eschew,avoid         ,"something, anything",1
esoteric,abstruse intended only for a small circle of    ,"something, anything",1
espouse,marry give one's support to       ,"something, anything",1
eulogy,formal praise panegyric         ,"something, anything",1
euphoria,elation state of pleasant excitement       ,"something, anything",1
euthanasia,easy and painless death        ,"something, anything",1
evasive,tending to evade       ,"something, anything",1
evince,to show clearly to indicate       ,"something, anything",1
evoke,call up bring out        ,"something, anything",1
excoriation,severe criticism          ,"something, anything",1
exculpate,to clear from a charge of guilt     ,"something, anything",1
exhaustive,complete thorough          ,"something, anything",1
exigency,emergency an urgent situation        ,"something, anything",1
exoneration,set smb clear free (e.g.. from blame)     ,"something, anything",1
exorbitant,much too high or great       ,"something, anything",1
expatiate,to roam wander freely        ,"something, anything",1
expedient,likely to be useful for a purpose     ,"something, anything",1
expiation,ending expiring          ,"something, anything",1
exploit,brilliant achievement develop use selfishly       ,"something, anything",1
expostulate,argue earnestly to dissuade correct or protest     ,"something, anything",1
expurgate,to remove obscenity purify censor       ,"something, anything",1
exscind,to cut out cut away       ,"something, anything",1
extant,still in existence         ,"something, anything",1
extempore,without previous thought or preparation     ,"something, anything",1
extenuate,reduce the strength of lessen seriousness partially excuse    ,"something, anything",1
extinct,no longer active         ,"something, anything",1
extinguish,end the existence of/wipe or put out   ,"something, anything",1
extirpate,to destroy exterminate cut out exscind      ,"something, anything",1
extol,praise highly          ,"something, anything",1
extort,obtain by threats violence        ,"something, anything",1
extralegal,outside the law         ,"something, anything",1
extricable,that can be freed        ,"something, anything",1
extrovert,cheerful person          ,"something, anything",1
exuberance,state of growing vigorously being full of life    ,"something, anything",1
facetious,humorous funny jocular         ,"something, anything",1
facile,easily done          ,"something, anything",1
fallacious,based on error         ,"something, anything",1
falter,waver/move in an uncertain manner     ,"something, anything",1
fatuous,without sense foolish self-satisfaction        ,"something, anything",1
fawn,young deer try to win smb's favor     ,"something, anything",1
feckless,lacking purpose or vitality ineffective careless      ,"something, anything",1
fecund,fertile           ,"something, anything",1
feint,pretend           ,"something, anything",1
felicitous,apt suitably expressed well chosen apropos      ,"something, anything",1
felon,person guilty of murder        ,"something, anything",1
ferment,substance become excited         ,"something, anything",1
ferocity,savage cruelty          ,"something, anything",1
ferret,discover by searching search        ,"something, anything",1
fervid,showing earnest feeling         ,"something, anything",1
fervor,warmth of feelings earnestness        ,"something, anything",1
fetid,stinking         ,"something, anything",1
fetter,to shackle put in chains       ,"something, anything",1
feud,bitter quarrel over a long period of time    ,"something, anything",1
fidelity,loyalty accuracy          ,"something, anything",1
fidget,move restlessly make nervous        ,"something, anything",1
figurehead,carved image on the prow of a ship    ,"something, anything",1
finesse,delicate way of dealing with a situation     ,"something, anything",1
finical,too fussy about food clothing etc.      ,"something, anything",1
finicky,finical           ,"something, anything",1
fission,splitting or division (esp. of cells)      ,"something, anything",1
fixate,stare at          ,"something, anything",1
flak,criticism/anti-aircraft guns        ,"something, anything",1
flamboyant,brightly colored florid         ,"something, anything",1
flaunting,show off complacently         ,"something, anything",1
flax,pale yellow (hair) a plant       ,"something, anything",1
fledged,able to fly trained experienced       ,"something, anything",1
fleet,number of ships quick-moving        ,"something, anything",1
flinch,draw move back wince        ,"something, anything",1
flop,fail/move/fall clumsily        ,"something, anything",1
florid,very much ornamented naturally red (e.g.. of face)    ,"something, anything",1
flout,reject mock to go against (as in going against tradition)  ,"something, anything",1
fluke,lucky stroke        ,"something, anything",1
fluster,make nervous or confused        ,"something, anything",1
foible,defect of character (a person is wrongly proud)    ,"something, anything",1
foil,prevent from carrying out contrast       ,"something, anything",1
foment,put smth warm (to lessen the pain)     ,"something, anything",1
foolproof,incapable of failure or error     ,"something, anything",1
foppish,like a man who pays too much attention to his clothes ,"something, anything",1
forage,food for horses and cattle     ,"something, anything",1
forbear,refrain from be patient ancestor       ,"something, anything",1
forbearance,patience willingness to wait        ,"something, anything",1
ford,shallow place in a river (to cross)     ,"something, anything",1
forestall,prevent by taking action in advance preempt     ,"something, anything",1
forfeit,suffer the loss of smth       ,"something, anything",1
forge,workshop for the shaping of metal to shape metal lead  ,"something, anything",1
forgery,counterfeit           ,"something, anything",1
forswear,renounce disallow repudiate         ,"something, anything",1
foster,nurture care for         ,"something, anything",1
fracas,noisy quarrel        ,"something, anything",1
fragile,easily injured broken or destroyed       ,"something, anything",1
fragrant,sweet-smelling           ,"something, anything",1
frantic,wildly excited with joy pain anxiety      ,"something, anything",1
frenetic,frantic frenzied          ,"something, anything",1
fret,worry irritation wear away        ,"something, anything",1
fringe,edge ornamental border part of hair over the forehead   ,"something, anything",1
froward,intractable not willing to yield or comply stubborn    ,"something, anything",1
frugal,careful economical          ,"something, anything",1
fulmination,bitter protest          ,"something, anything",1
fulsome,disgusting offensive due to excessiveness       ,"something, anything",1
gainsay,to deny to oppose,"something, anything",1
garble,make unfair selection from facts     ,"something, anything",1
garment,article of clothing         ,"something, anything",1
garner,to gather and save to store up     ,"something, anything",1
garrulity,talkativeness           ,"something, anything",1
garrulous,too talkative          ,"something, anything",1
gaucherie,socially awkward tactless behavior        ,"something, anything",1
germane,relevant pertinent to         ,"something, anything",1
gist,the point general sense        ,"something, anything",1
glean,gather facts in small quantities       ,"something, anything",1
glib,ready and smooth but not sincere      ,"something, anything",1
glimmer,weak/unsteady light        ,"something, anything",1
gloat,over look at with selfish delight      ,"something, anything",1
glut,supply to much fill to excess      ,"something, anything",1
gnaw,waste away bite steadily        ,"something, anything",1
goad,smth urging a person to action      ,"something, anything",1
gorge,eat greedily/narrow opening with a stream    ,"something, anything",1
gossamer,soft light delicate material        ,"something, anything",1
gouge,tool for cutting grooves in wood      ,"something, anything",1
grandiloquent,using pompous words       ,"something, anything",1
grave,serious requiring consideration         ,"something, anything",1
graze,touch or scrape lightly in passing    ,"something, anything",1
gregarious,living in societies liking the company      ,"something, anything",1
grievous,causing grief or pain serious dire grave     ,"something, anything",1
grovel,crawl humble oneself         ,"something, anything",1
guile,deceit cunning          ,"something, anything",1
gullible,easily gulled          ,"something, anything",1
gush,burst out suddenly/talk ardently      ,"something, anything",1
gust,outburst of feeling sudden rain wind fire etc.    ,"something, anything",1
hack,cut roughly hired horse        ,"something, anything",1
halcyon,calm and peaceful       ,"something, anything",1
hallow,to make holy consecrate        ,"something, anything",1
harangue,a long passionate speech        ,"something, anything",1
harbinger,smth or smb that foretells the coming of    ,"something, anything",1
harrow,to distress create stress or torment      ,"something, anything",1
haughty,arrogant conceited          ,"something, anything",1
heed,attention/give notice to       ,"something, anything",1
heinous,odious (of crime)         ,"something, anything",1
heresy,belief contrary to what is generally accepted     ,"something, anything",1
hermetic,sealed by fusion         ,"something, anything",1
heterogeneous,made up of different kinds       ,"something, anything",1
hew,make by hard work cut (by striking)     ,"something, anything",1
highbrow,(person) with superior tastes      ,"something, anything",1
hirsute,hairy shaggy          ,"something, anything",1
hoax,mischievous trick played on smb for a joke    ,"something, anything",1
hoi,polloi the masses the rabble       ,"something, anything",1
hollow,not soled with hole        ,"something, anything",1
holster,leather case for a pistol       ,"something, anything",1
homiletics,act of preaching       ,"something, anything",1
hone,stone used for sharpening tools       ,"something, anything",1
hoodwink,trick mislead          ,"something, anything",1
hospitable,liking to give hospitality        ,"something, anything",1
hubris,arrogant pride          ,"something, anything",1
hush,make or become silent      ,"something, anything",1
husk,worthless outside part of anything       ,"something, anything",1
hypocrisy,falsely making oneself appear to be good     ,"something, anything",1
iconoclast,person who attacks popular beliefs       ,"something, anything",1
idiosyncrasy,personal mannerism          ,"something, anything",1
idolatry,excessive admiration of         ,"something, anything",1
idyll,a carefree episode or experience       ,"something, anything",1
ignoble,dishonorable common undignified         ,"something, anything",1
ignominious,shameful dishonorable undignified disgraceful        ,"something, anything",1
illicit,unlawful forbidden          ,"something, anything",1
imbroglio,complicated and embarrassing situation        ,"something, anything",1
immaculate,pure faultless          ,"something, anything",1
imminent,likely to come or happen soon      ,"something, anything",1
immutable,that cannot be changed        ,"something, anything",1
impair,worsen diminish in value        ,"something, anything",1
impassive,unmoved feeling no sign of passion      ,"something, anything",1
impecunious,having little or no money       ,"something, anything",1
impede,hinder get in the way of      ,"something, anything",1
impediment,smth that hinders (e.g. stammer)       ,"something, anything",1
impending,imminent being about to happen expected      ,"something, anything",1
imperative,urgent essential          ,"something, anything",1
imperious,commanding haughty arrogant         ,"something, anything",1
impermeable,that cannot be permeated        ,"something, anything",1
imperturbable,calm not capable of being excited      ,"something, anything",1
impervious,not allowing to pass through (of materials)     ,"something, anything",1
imperviousness,haughty arrogant commanding         ,"something, anything",1
impetuous,having sudden energy impulsive thrusting ahead forceful     ,"something, anything",1
impiety,lack of reverence or dutifulness       ,"something, anything",1
implacable,incapable of being placated unpleasable       ,"something, anything",1
implicate,show that smb has a share      ,"something, anything",1
implicit,implied though not plainly expressed       ,"something, anything",1
implosion,collapse bursting inward         ,"something, anything",1
importune,beg urgently solicit (of a prostitute)      ,"something, anything",1
imprecation,an invocation of evil a curse      ,"something, anything",1
impromptu,without preparation          ,"something, anything",1
impudent,rash indiscreet          ,"something, anything",1
impugned,challenged to be doubted        ,"something, anything",1
impute,to attribute to a cause or source ascribe    ,"something, anything",1
inadvertent,not paying proper attention        ,"something, anything",1
inane,silly senseless          ,"something, anything",1
inasmuch,since because          ,"something, anything",1
incense,make angry          ,"something, anything",1
incessant,often repeated continual         ,"something, anything",1
inchoate,not yet fully formed rudimentary elementary      ,"something, anything",1
incipient,beginning         ,"something, anything",1
incise,engrave make a cut in       ,"something, anything",1
incite,stir up rouse         ,"something, anything",1
inclined,directing the mind in a certain direction     ,"something, anything",1
incongruous,out of place not in harmony or agreement    ,"something, anything",1
incorrigibility,cannot be cured or corrected       ,"something, anything",1
incredulous,skeptical unwilling to believe        ,"something, anything",1
inculcate,fix firmly by repetition        ,"something, anything",1
incumbents,official duties          ,"something, anything",1
incursion,a raid a sudden attack       ,"something, anything",1
indefatigability,not easily exhaustible tirelessness        ,"something, anything",1
indelible,that cannot be rubbed out       ,"something, anything",1
indigence,poverty           ,"something, anything",1
indigenous,native           ,"something, anything",1
indistinct,not easily heard seen clearly marked      ,"something, anything",1
indolence,laziness           ,"something, anything",1
indomitable,not easily discouraged or subdued       ,"something, anything",1
indulge,gratify give way to satisfy allow oneself     ,"something, anything",1
indulgent,inclined to indulge         ,"something, anything",1
ineffable,to great to be described in words     ,"something, anything",1
ineluctable,certain inevitable          ,"something, anything",1
